fips,white,non_white,pctwhite
5033,57134.0,61948.0,0.9222896622974107
5035,23838.0,50902.0,0.46831165769517896
5037,13591.0,17870.0,0.7605484051482932
5039,4568.0,8116.0,0.562838836865451
5041,6513.0,13008.0,0.5006918819188192
5043,13012.0,18509.0,0.7030093468042574
5045,97381.0,113237.0,0.859975096479066
5047,17351.0,18125.0,0.957296551724138
5049,11903.0,12245.0,0.9720702327480605
5051,84901.0,96024.0,0.8841643755727735
5053,17126.0,17853.0,0.9592785526242088
5055,41000.0,42090.0,0.9741031123782371
5057,15262.0,22609.0,0.6750409129107877
5059,28529.0,32923.0,0.8665370713482975
5061,10535.0,13789.0,0.7640147944013344
5063,34851.0,36647.0,0.950991895653123
5065,13206.0,13696.0,0.9642231308411215
5067,14574.0,17997.0,0.809801633605601
5069,32968.0,77435.0,0.4257506295602764
5071,24223.0,25540.0,0.9484338292873923
5073,4676.0,7645.0,0.6116415958142577
5075,17000.0,17415.0,0.9761699684180304
5077,4449.0,10424.0,0.4268035303146585
5079,9678.0,14134.0,0.6847318522711193
5081,10137.0,13171.0,0.769645433148584
5083,21059.0,22353.0,0.9421106786561088
5085,62154.0,68356.0,0.9092691204868629
5087,15136.0,15717.0,0.9630336578227398
5089,16209.0,16653.0,0.9733381372725635
5091,31533.0,43462.0,0.725530348350283
5093,29618.0,46480.0,0.6372203098106712
5095,4645.0,8149.0,0.5700085900110443
5097,9106.0,9487.0,0.9598397807526088
5099,6056.0,8997.0,0.6731132599755474
5101,8023.0,8330.0,0.9631452581032413
5103,15033.0,26120.0,0.5755359877488515
5105,10009.0,10445.0,0.9582575394925802
5107,7691.0,21757.0,0.3534954267592039
5109,10599.0,11291.0,0.9387122486936498
5111,22373.0,24583.0,0.9101004759386568
5113,19678.0,20662.0,0.9523763430452038
5115,57476.0,61754.0,0.9307251352139133
5117,7544.0,8715.0,0.8656339644291452
5119,230673.0,382748.0,0.6026759120883715
5121,17488.0,17969.0,0.9732316767766709
5123,12865.0,28258.0,0.455269304267818
5125,99081.0,107118.0,0.9249705931776172
5127,10312.0,11233.0,0.9180094364817947
5129,7899.0,8195.0,0.9638804148871263
5131,105239.0,125744.0,0.8369305891334775
5133,15284.0,17058.0,0.8960018759526321
5135,16678.0,17264.0,0.9660565338276181
5137,12064.0,12394.0,0.9733742133290302
5139,26964.0,41639.0,0.647565983813252
5141,16724.0,17295.0,0.9669846776525007
5143,180130.0,203065.0,0.8870558688104794
5145,71682.0,77076.0,0.9300171259536042
5147,5112.0,7260.0,0.7041322314049587
5149,21064.0,22185.0,0.9494703628577867
6001,799607.0,1510271.0,0.5294460398166951
6003,896.0,1175.0,0.7625531914893617
6005,34567.0,38091.0,0.9074847076737287
6007,192577.0,220000.0,0.87535
6009,42199.0,45578.0,0.9258633551274738
6011,19737.0,21419.0,0.9214715906438209
6013,724805.0,1049025.0,0.6909320559567217
6015,22805.0,28610.0,0.7970989164627753
6017,164370.0,181058.0,0.9078306399054447
6019,723512.0,930450.0,0.7775936374872373
6021,25405.0,28122.0,0.9033852499822204
6023,114662.0,134623.0,0.8517266737481708
6025,156066.0,174528.0,0.8942175467546755
6027,15338.0,18546.0,0.8270246953520974
6029,697978.0,839631.0,0.8312913648971989
6031,124416.0,152982.0,0.8132721496646664
6033,57205.0,64665.0,0.8846362019639682
6035,28693.0,34895.0,0.8222668004012036
6037,7056710.0,9818605.0,0.7187080038355754
6039,130175.0,150865.0,0.8628575216252942
6041,218456.0,252409.0,0.8654841943036896
6043,16651.0,18251.0,0.9123335707632458
6045,76728.0,87841.0,0.8734873236871165
6047,210263.0,255793.0,0.8220045114604387
6049,8713.0,9686.0,0.8995457361139789
6051,13275.0,14202.0,0.9347275031685678
6053,342554.0,415057.0,0.8253179683754279
6055,117729.0,136484.0,0.862584625304065
6057,93007.0,98764.0,0.9417095297881819
6059,2266819.0,3010232.0,0.7530379718240986
6061,304936.0,348432.0,0.8751664600266336
6063,18364.0,20007.0,0.917878742440146
6065,1778650.0,2189641.0,0.812302107971124
6067,935227.0,1418788.0,0.6591731816169858
6069,49144.0,55269.0,0.8891783820948452
6071,1585604.0,2035210.0,0.7790861876661377
6073,2389730.0,3095313.0,0.7720479318246652
6075,439461.0,805235.0,0.5457549659416195
6077,471335.0,685306.0,0.6877730532054294
6079,242006.0,269637.0,0.8975251912756781
6081,465985.0,718451.0,0.6485967727792152
6083,366930.0,423895.0,0.8656153056771134
6085,1046294.0,1781642.0,0.5872638835411379
6087,232054.0,262382.0,0.8844128027075028
6089,158262.0,177223.0,0.8930105008943534
6091,3102.0,3240.0,0.9574074074074074
6093,39551.0,44900.0,0.88086859688196
6095,250857.0,413344.0,0.6068964349307114
6097,426080.0,483878.0,0.8805525359698105
6099,436142.0,514453.0,0.8477781255041763
6101,71757.0,94737.0,0.7574337376104373
6103,57995.0,63463.0,0.9138395600586169
6105,12260.0,13786.0,0.8893079936167126
6107,392082.0,442179.0,0.8867042532549035
6109,50529.0,55365.0,0.9126523977241939
6111,704456.0,823318.0,0.8556305097179947
6113,154168.0,200849.0,0.7675816160399106
6115,57524.0,72155.0,0.7972281893146698
8001,387643.0,441603.0,0.8778088011177461
8003,13824.0,15445.0,0.8950469407575267
8005,453937.0,572003.0,0.7935919916503934
8007,11358.0,12084.0,0.9399205561072492
8009,3639.0,3788.0,0.9606652587117213
8011,5652.0,6499.0,0.8696722572703492
8013,270093.0,294567.0,0.9169153367485157
8014,50002.0,55889.0,0.8946662133872497
8015,16978.0,17809.0,0.9533381997866247
8017,1789.0,1836.0,0.974400871459695
8019,8761.0,9088.0,0.964018485915493
8021,7747.0,8256.0,0.9383478682170543
8023,3168.0,3524.0,0.8989784335981839
8025,4946.0,5823.0,0.8493903486175511
8027,4097.0,4255.0,0.962867215041128
8029,29649.0,30952.0,0.9579025588007237
8031,483271.0,600158.0,0.8052396202333385
8033,1951.0,2064.0,0.9452519379844961
8035,262954.0,285465.0,0.9211426970031352
8037,49982.0,52197.0,0.957564610992969
8039,22154.0,23086.0,0.9596292125097462
8041,525642.0,622263.0,0.8447264259645841
8043,43103.0,46824.0,0.9205322057064753
8045,53331.0,56389.0,0.9457695649860789
8047,5192.0,5441.0,0.9542363536114685
8049,14326.0,14843.0,0.9651687664218823
8051,14574.0,15324.0,0.9510571652310101
8053,813.0,843.0,0.9644128113879004
8055,6151.0,6711.0,0.9165549098495008
8057,1353.0,1394.0,0.9705882352941176
8059,495530.0,534543.0,0.9270161614687686
8061,1368.0,1398.0,0.9785407725321889
8063,7832.0,8270.0,0.947037484885127
8065,6941.0,7310.0,0.9495212038303693
8067,46233.0,51334.0,0.9006311606342775
8069,281265.0,299630.0,0.9387077395454394
8071,14306.0,15507.0,0.9225511059521506
8073,5003.0,5467.0,0.915127126394732
8075,21061.0,22709.0,0.9274296534413669
8077,139065.0,146723.0,0.9478064107195191
8079,699.0,712.0,0.9817415730337079
8081,13293.0,13795.0,0.9636100036245017
8083,21583.0,25535.0,0.8452320344625025
8085,39261.0,41276.0,0.9511822851051458
8087,26305.0,28159.0,0.934159593735573
8089,17431.0,18831.0,0.9256545058679836
8091,4326.0,4436.0,0.9752028854824166
8093,15527.0,16206.0,0.9581019375539923
8095,4327.0,4442.0,0.9741107609185051
8097,16562.0,17148.0,0.9658269185910894
8099,12110.0,12551.0,0.9648633575013943
8101,145252.0,159063.0,0.9131727680227332
8103,6382.0,6666.0,0.9573957395739574
8105,11337.0,11982.0,0.9461692538808212
8107,22796.0,23509.0,0.9696711897571143
8109,5729.0,6108.0,0.9379502292075966
8111,674.0,699.0,0.9642346208869814
8113,7058.0,7359.0,0.9590977034923224
8115,2309.0,2379.0,0.9705758722152165
8117,26925.0,27994.0,0.9618132456955062
8119,22310.0,23350.0,0.9554603854389722
8121,4702.0,4814.0,0.976734524304113
8123,237207.0,252825.0,0.9382260456837733
8125,9834.0,10043.0,0.9791894852135816
9001,745332.0,916829.0,0.8129454892897149
9003,701004.0,894014.0,0.7841085262646894
9005,180797.0,189927.0,0.9519288989980361
9007,149965.0,165676.0,0.9051703324561192
9009,691242.0,862477.0,0.8014613723032614
9011,232756.0,274055.0,0.849303971830472
9013,139175.0,152691.0,0.9114813577748525
9015,110549.0,118428.0,0.9334701253082042
10001,112801.0,162310.0,0.6949725833281991
10003,370214.0,538479.0,0.6875179904880228
10005,162755.0,197145.0,0.8255598671028939
11001,251265.0,601723.0,0.41757586131824775
12001,176369.0,247336.0,0.7130745221075784
12003,22821.0,27115.0,0.841637470035036
12005,140898.0,168852.0,0.8344467344183072
12007,21996.0,28520.0,0.7712482468443198
12009,459974.0,543376.0,0.8465114395924738
12011,1169470.0,1748066.0,0.6690079207535642
12013,12027.0,14625.0,0.8223589743589743
12015,145937.0,159978.0,0.9122316818562552
12017,132653.0,141236.0,0.9392293749468974
12019,159597.0,190865.0,0.8361774028763785
12021,290791.0,321520.0,0.9044258522020403
12023,53446.0,67531.0,0.7914291214405236
12027,29281.0,34862.0,0.8399116516550973
12029,14693.0,16422.0,0.8947144075021313
12031,543179.0,864263.0,0.6284880875381683
12033,208623.0,297619.0,0.7009733921557427
12035,80317.0,95696.0,0.8392931783982611
12037,9674.0,11549.0,0.8376482812364707
12039,19235.0,46389.0,0.4146457134234409
12041,15675.0,16939.0,0.925379302202019
12043,10424.0,12884.0,0.8090655076063334
12045,12520.0,15863.0,0.7892580218117632
12047,9269.0,14799.0,0.6263261031150753
12049,24742.0,27731.0,0.8922144891998125
12051,32007.0,39140.0,0.8177567705671946
12053,158160.0,172778.0,0.9153943210362431
12055,85605.0,98786.0,0.8665701617638127
12057,937745.0,1229226.0,0.7628743615901389
12059,18135.0,19927.0,0.9100717619310483
12061,121358.0,138028.0,0.8792274031355957
12063,34986.0,49746.0,0.7032927270534314
12065,9126.0,14761.0,0.61825079601653
12067,7285.0,8870.0,0.8213077790304397
12069,254086.0,297052.0,0.8553586577434253
12071,544109.0,618754.0,0.8793623960410761
12073,176729.0,275487.0,0.6415148446206173
12075,35791.0,40801.0,0.877208891938923
12077,6604.0,8365.0,0.7894799760908547
12079,11375.0,19224.0,0.5917082813150228
12081,281424.0,322833.0,0.8717324437092863
12083,278033.0,331298.0,0.8392232974542557
12085,133210.0,146318.0,0.9104143030932627
12086,1936470.0,2496435.0,0.7756941398434167
12087,66553.0,73090.0,0.910562320426871
12089,66548.0,73314.0,0.9077120331723818
